brad_date,prod_id,ch_no,ch_nm,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price
2024-01-30,3231706635800,4,롯데홈쇼핑,2024-01-30 17:30:00,2024-01-30 18:29:58,"[경복궁] 宮 양념 LA갈비 400g X 8팩, 총 3.2kg",식품/건강,축산물,쇠고기,LA갈비,양념,https://image2.lotteimall.com/goods/44/19/78/12781944_1.jpg,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=183671&chl_dtl_no=2605020&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12781944,89900,88900
2024-01-30,2291706635860,30,쇼핑엔티,2024-01-30 17:31:00,2024-01-30 18:29:58,[이보은이 추천하는 맛있는 보리굴비] 사대부집곳간 부세보리굴비 120g × 8팩 ,식품/건강,수산물,생선,이보은이 사대부집곳간,부세보리굴비,http://img.shoppingntmall.com/goods/586/14382586_h.jpg,http://m.shoppingntmall.com/display/goods/14382586?mediaCode=TV02A,-1,59900
2024-01-30,3261706636040,20,신세계쇼핑,2024-01-30 17:34:00,2024-01-30 18:34:18,"[국민5%할인][워커힐] 고메 꽃갈비찜 700g*3팩, 2.1kg",식품/건강,가공식품,오일/양념/장류,워커힐,꽃갈비찜,http://img.shinsegaetvshopping.com/goods/384/20051384_g_20231124143631.jpg,http://m.shinsegaetvshopping.com/display/detail/20051384?inMediaCode=MC02,91900,91900
2024-01-30,3081706636100,2,NS홈쇼핑,2024-01-30 17:35:00,2024-01-30 18:34:58,양세형의 간편한 뼈없는 갈비찜 500gX7팩,식품/건강,축산물,축산가공식품,양세형의,갈비찜,http://product-image.prod-nsmall.com/itemimg0/33/220/33878220_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33878220,68900,68900
2024-01-30,3101706636100,8,GS SHOP,2024-01-30 17:35:00,2024-01-30 18:34:58,[종가] 중부식 포기김치 11kg (5.5kg x 2)+ 포기김치(중부식) 900g,식품/건강,가공식품,김치,없음,포기김치,https://asset.m-gs.kr/prod/1023699250/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLG&gourl=/prd/prd.gs?prdid=1023699250,79900,79900
2024-01-30,2311706636280,28,GS MY SHOP,2024-01-30 17:38:00,2024-01-30 18:37:58,김나운더키친 떡갈비명작 30팩 60장,식품/건강,축산물,축산가공식품,김나운더키친,떡갈비명작,https://asset.m-gs.kr/prod/95770888/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLH&gourl=/prd/prd.gs?prdid=95770888,70900,70900
2024-01-30,3951706636280,12,KT알파 쇼핑,2024-01-30 17:38:00,2024-01-30 18:37:58,"유현수의 수제 일품 갈비살 300g x 8팩, 총 2.4kg",식품/건강,축산물,쇠고기,유현수의,갈비살,http://imgs.kshop.co.kr//d2/product/emc/202401/28/81/082/2881082_550_20240103152509.jpg,http://m.kshop.co.kr/display/mc/product/2881082?with_code=000004&utm_source=hsmoa_ep&utm_medium=cps&utm_campaign=prd_01_%EC%8B%9D%ED%92%88%2F%EA%B1%B4%EA%B0%95_2881082&utm_content=mo_schedule,69900,59420
2024-01-30,3621706636400,14,홈&쇼핑,2024-01-30 17:40:00,2024-01-30 18:39:58,"(방송에서만100팩)[홍진경] 천연 더다시팩, 총 100팩(10팩x10봉, 1.5kg)",식품/건강,가공식품,오일/양념/장류,홍진경,천연 더다시팩,http://image.hnsmall.com/images/goods/588/40985588_g.jpg,http://m.hnsmall.com/goods/view/40985588?channel_code=21363&utm_source=OllehPortal&utm_medium=AF&utm_campaign=TV_None_40985588,65900,65900
2024-01-30,3041706636400,10,현대홈쇼핑,2024-01-30 17:40:00,2024-01-30 18:39:58,[천하일미]홍석천 이원일의 전통 소갈비찜 500gx8팩,식품/건강,축산물,쇠고기,천하일미,소갈비찜,https://image.hmall.com/static/8/2/16/43/2143162891_0.jpg?RS=300X300,https://www.hmall.com/md/pda/itemPtc?slitmCd=2143162891&ReferCode=m09&TcCode=0000001389,89900,89900
2024-01-30,4401706636400,32,LOTTE OneTV,2024-01-30 17:40:00,2024-01-30 18:38:58,[CJ제일제당] 만두 5종 20봉 세트 (왕교자*8+한섬만두*3+김치왕교자*3+수제진한김치만두*3+수제깔끔고기만두*3)T,식품/건강,가공식품,간편식품,수제진한김치만두 수제깔끔고기만두,왕교자 김치왕교자,https://image2.lotteimall.com/goods/02/10/79/12791002_1.jpg,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=183671&chl_dtl_no=2605020&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12791002,54900,53900
